,id,identifier,formula,polar_spg
0,66338edeb66c0740a5940792,mp-1226055,CsW3Br7,P31c
1,66338edeb66c0740a594079a,mp-1220062,P3Pb5BrO12,P6_3
2,66338edeb66c0740a594079e,mp-569854,Ga3Bi5Cl12,R3c
3,66338edfb66c0740a59407ba,mp-556719,K2Ti(SiO3)3,R3
4,66338edfb66c0740a59407be,mp-975103,RbMgPO4,Pna2_1
5,66338ee0b66c0740a59407ca,mp-1226195,Cs3H(SeO4)2,Cc
6,66338ee1b66c0740a59407ea,mp-542613,GeS2,Fdd2
7,66338ef3b66c0740a59407ee,mp-20546,Ba2In2O5,Ima2
8,66338ef4b66c0740a59407fa,mp-752676,TiBi2O5,Cmc2_1
9,66338ef4b66c0740a59407fe,mp-5854,LiGaO2,Pna2_1
10,66338ef4b66c0740a594080a,mp-1020712,ZnSiN2,Pna2_1
11,66338ef4b66c0740a594080e,mp-18938,Tl2MoO4,C2
12,66338ef5b66c0740a5940832,mp-31053,Ag2S,P2_1
13,66338ef5b66c0740a5940836,mp-1068340,CsGeBr3,R3m
14,66338ef5b66c0740a594083a,mp-804,GaN,P6_3mc
15,66338ef8b66c0740a594086e,mp-17864,BaNa(B3O5)3,R3c
16,66338ef8b66c0740a5940876,mp-18460,K2Si6GeO15,Cc
17,66338ef9b66c0740a594088e,mp-1223690,KAgSnSe3,P4cc
18,66338efbb66c0740a59408ba,mp-1218554,Sr7Y6OF30,R3
19,66338efdb66c0740a59408f2,mp-1214215,Ca11AlSb9,Iba2
20,66338f00b66c0740a594093a,mp-1223401,KNb4AsO13,Cmc2_1
21,66338f00b66c0740a594093e,mp-766341,NaSb5O13,Ama2
22,66338f01b66c0740a5940952,mp-1226414,Cs3H(SF6)2,Pba2
23,66338f01b66c0740a594095e,mp-554787,RbMoIO6,Pna2_1
24,66338f01b66c0740a594096a,mp-773066,KTa2PO8,R3
25,66338f02b66c0740a5940976,mp-1224229,K10Zn4Sn4S17,R3m
26,66338f02b66c0740a5940982,mp-974650,Re2S2O13,Pba2
27,66338f03b66c0740a594098a,mp-1244815,TaTi(PO4)3,R3c
28,66338f04b66c0740a59409b6,mp-29839,Bi2SeO5,Aem2
29,66338f05b66c0740a59409ba,mp-1225967,CsPSe6,Pc
30,66338f05b66c0740a59409c6,mp-1208048,TlVSeO5,Pna2_1
31,66338f06b66c0740a59409d6,mp-753546,Li8TiS6,P6_3cm
32,66338f06b66c0740a59409e6,mp-9711,Ba2Si5N8,Pmn2_1
33,66338f07b66c0740a59409fe,mp-541291,Na3MoN3,Cc
34,66338f07b66c0740a5940a06,mp-1209324,RbBePO4,Pna2_1
35,66338f08b66c0740a5940a16,mp-557855,CaGaBO4,Ccc2
36,66338f08b66c0740a5940a1e,mp-18168,TlZnPO4,P2_1
37,66338f09b66c0740a5940a2a,mp-644097,BaAlH5,Pna2_1
38,66338f09b66c0740a5940a2e,mp-558807,ZnAgPS4,Pna2_1
39,66338f09b66c0740a5940a32,mp-23614,SrNb2Bi2O9,Cmc2_1
40,66338f0ab66c0740a5940a56,mp-23400,In(IO3)3,P6_3
41,66338f0cb66c0740a5940a86,mp-27755,KAlCl4,P2_1
42,66338f0db66c0740a5940aa2,mp-570838,CdHg4(AsI2)2,P2_1
43,66338f0db66c0740a5940aa6,mp-555218,Ba4Br6O,P6_3mc
44,66338f0db66c0740a5940aaa,mp-23063,Ba4Cl6O,P6_3mc
45,66338f0db66c0740a5940aae,mp-1224198,K4Ba2SnBi4,Cm
46,66338f0db66c0740a5940ab2,mp-1224114,K4Ba2SnP4,Cc
47,66338f0db66c0740a5940aba,mp-1192126,Zn2TeMoO7,P2_1
48,66338f0eb66c0740a5940ac2,mp-10096,Na3Sr3GaP4,P6_3mc
49,66338f0eb66c0740a5940ace,mp-41095,Na3Sr3AlP4,P6_3mc
